Producto,PLU
HEB ALFALFA CON ADEREZO ITALIANO,2095
 TOMATE BOLA  EN RACIMO MR. LUCKY,6316
 AJO  JAPONES EN CHAROLA,0001
 LEMONCOOL,3003
LA BOTANERA PULPITA LIGHT  195GR,3024
 CHILE SERRANO ROJO,4707
 EARTHBOUND FARM BABY SPRING MIX 10 OZ SA,0190
 ANTIOXIDANTE INDIVIDUAL 60ML,3009
 NECTARINA,4036
HEB PEREJIL CHINO,2098
INFUSIONATE STEVIA HIERBA DULCE 25 GR,2254
 PERA BARTLET,4409
 TOMILLO EMPACADA,2007
HEB ALFALFA CON ADEREZO MIL ISLAS,2095
 EARTHBOUND FARM  BABY LETTUCE SALAD ORG,0190
 VINAGRETA BALSAMICA ORGANICA 355 ML,6115
 ATE DE GUAYABA ENCHILADA,3012
 CHILE JALAPEÑO ROJO,4695
 NARANJA  CARA CARA,3110
 MANZANA  GALA IMP EN BOLSA 1.36,8390
MEGA CHAMOY PICOSITO MEGA    CHAMOY MEGA PICOSITO,3024
 CHILE CHILACA,4696
 CHILE HABANERO VERDE,3125
NUTRIBITS NUTRIBITS DATIL MEDJOOL ORGANICO,0810
HEB SPORT MIX  ORGANICO,2021
 CACAHUATE VIRGINIA SALADO CON CUTICULA,4906
 ALMENDRA,4930
 CHAMPINON CREMINI A GRANEL,4648
 JAMAICA PAQ 1 KILO,3003
TAJIN TAJIN HABANERO,1481
 JAMAICA ORGANICA 200 GR,3014
 CIRUELA  ROJA IMPORTADA,4042
AZAHAR D ALLEND POLEN,4520
PULPI-K PIÑA  ENCHILADA MED,3012
PULPI-K PIÑA  ENCHILADA GDE,3012
INFUSIONATE TE VERDE C/ STEVIA 110GR,2254
 ARANDANO,2258
INFUSIONATE JAMAICA  NATURAL 200 G,2254
 AZAFRAN AZAFRAN,4908
HEB GERMINADO DE SOYA A GRANEL,4508
HEB VERDOLAGA,2098
AZAHAR D ALLEND MIEL DE ABEJA,3195
PULPI-K PULPI-K LIGHT,3012
 MANZANA CRISP PINK,8590
 TAMARINDCOOL,3003
 DIP ARANDANO 270 GR,0027
 TAJIN BOTELLA MINI 10 GR,1481
 FLOR JAMAICA IMPORTADA,4873
 PILONCILLO GRANDE,4875
 CACAHUATE TOST NAT,4898
 PINON ROSA,4941
TAJIN CHILE EN POLVO MINIATURA,1481
 ESCARCHADOR CLáSICO 120G,1485
CAMPO VIVO PAPA  ORGANICA BOLSA 1 KG CAMBRAY,2236
AZAHAR D ALLEND MIEL  DE ABEJA 700GR,4520
DON ZABOR CIRUELA SIN HUESO  1KG,2210
NUTRIBITS ENSALADA GOURMET CHERRY,4880
 EARTHBOUND FARM  ENSALADA KALE ITALIANA ,0190
 TAMARINDO,4448
 HONGO PORTABELLINI A GRANEL,4646
DON ZABOR ARANDANO 750GRS,2210
 PEPINO CRIOLLO,3195
 CAMOTE GARNET,0000
 PERA  RED D ANJOU,4417
 PINON BLANCO,4938
HEB FRUTA CORTADA  GRANDE,9200
 DIP DE ARANDANO,3012
PULPI-K ARÁNDANO  ENCHILADO GDE,3012
 EARTHBOUND FARM BABY ARUGULA 10 OZ ORGAN,0190
HEB CHAMPINON BCO ENTERO DE 225 GR,2033
 HOJA  PARA TAMAL,2210
 CHILE  DE ARBOL TATEMADO 40G,1483
 VEGETALISTOS ADEREZO MANGO THAI 250 GRS,3019
PIKAYAMBA DIP,2212
 MINI FLAKES DE BRóCOLI,6311
 ADEREZO  MOSTAZA PROVENZAL,3024
 ARANDANO ENCHILADO,5894
 MANZANA  ROME BEAUTY IMP,3910
 MANZANA  SMITTEN,5440
 CHILE CASCABEL,4710
 DURAZNO  BLANCO,4401
HEB BETABEL MANOJO,2098
SEASONS SELECT PAPA BLANCA MALLA 800 GRS,2091
 VINAGRETA FRAMBUESA CON LIMON ORGANICA 3,6115
LEONALI VEGETALISTOS ENSALADA ESPINACA BABY 125 GR,3019
 FANCY  TRAIL MIX,2258
 AJO  PICADO,2258
" MINI FLAKES DE BRóCOLI, COLIFLOR Y ZANAH",6311
 MENTA,3259
FRUBOTANAS UVA PASA  MIX 250 GR,2254
 CHILE MOLIDO CON LIMON Y SAL,3009
 CHILE MORITA,4722
 MANZANA HONEY CRISP DE SALTILLO,6002
 ANIS ESTRELLA,4958
 TUNA BLANCA / VERDE,4255
 HINOJO MANOJO (BULBO),3016
 CHAMPINON BCO ENT DE 450 GR,1024
 PERA  YA,4420
AZAHAR D ALLEND JALEA REAL,4520
 EARTHBOUND FARM BABY FRESH HERB SALAD OR,0190
MR LUCKY ENSALADAS CORAZON LECHUGA,6317
HEB HEB AJONJOLI 100GR,2093
 TOMATE BOLA 4 PACK,0005
 MELON  LITRO,3019
DON ZABOR MIX NUECES Y FRUTOS ROJOS 750 GR,2210
FRUBOTANAS ARANDA  PIÑA MIX 250 GR,2254
FRUBOTANAS FRUTOS  SECOS 250 GR,2254
FRUBOTANAS UVA MANGO  MIX 250 GR,2254
VILLA DE PATOS COCO ORGáNICO EN MALLA,3026
 PLATANO DESHIDRATADO NATURAL,7975
 TOMATE BOLA RACIMO,0005
 NARANJA  BLOOD,XXXX
 PIÑA ENCHILADA,3225
 PEPITA  DE GIRASOL GARAPIÑADA,4812
 CHILE JAPONES,4714
 MANZANA  AMBROSIA,3438
 CHILE CARIBE,4772
 NUEZ CORAZON,4847
 CHILE ANCHO,4703
 CHILE DE ARBOL FRESCO,4686
HEB SOPA  JULIANA,0023
 MANZANA  RED EN BOLSA 1.36,8391
